indiv	fam	timepoint	relation	0.0	0.01	0.02	0.03	0.04	0.05	0.06	0.07	0.08	0.09	0.1	0.11	0.12	0.13	0.14	0.15	0.16	0.17	0.18	0.19	0.2	0.21	0.22	0.23	0.24	0.25	0.26	0.27	0.28	0.29	0.3	0.31	0.32	0.33	0.34	0.35	0.36	0.37	0.38	0.39	0.4	0.41	0.42	0.43	0.44	0.45	0.46	0.47	0.48	0.49	0.5	0.51	0.52	0.53	0.54	0.55	0.56	0.57	0.58	0.59	0.6	0.61	0.62	0.63	0.64	0.65	0.66	0.67	0.68	0.69	0.7	0.71	0.72	0.73	0.74	0.75	0.76	0.77	0.78	0.79	0.8	0.81	0.82	0.83	0.84	0.85	0.86	0.87	0.88	0.89	0.9	0.91	0.92	0.93	0.94	0.95	0.96	0.97	0.98	0.99
fam0501-T-V10	fam0501	T	V10	0	0	0	0	0	1	0	0	1	2	9	12	43	56	85	96	127	157	180	100	233	229	155	226	17	280	169	154	128	81	224	98	14	197	10	84	94	30	59	10	122	73	32	23	13	70	65	19	8	0	212	1	48	61	113	30	37	63	98	10	190	133	47	187	131	43	321	9	167	140	404	160	412	265	18	507	481	179	406	74	909	714	310	644	588	651	551	387	606	260	1510	687	1093	731	712	598	273	31	1	15723
fam0502-F1-V05	fam0502	F1	V05	0	463	4943	4247	1953	874	483	301	185	115	120	81	56	60	46	31	38	34	44	34	42	48	50	46	39	68	52	50	44	35	61	49	37	81	35	73	69	55	72	20	85	67	62	58	57	86	79	51	51	10	176	40	86	77	70	74	67	93	100	50	142	99	85	111	107	86	123	89	120	110	172	132	149	155	91	185	213	174	213	181	285	263	255	372	333	428	474	526	690	696	1059	1199	1807	2323	3676	5671	7635	8370	6311	31880
fam0502-T-V00	fam0502	T	V00	0	0	0	0	7	50	194	449	795	852	1239	1136	1239	1055	1018	955	851	725	599	401	547	375	305	280	137	290	177	154	138	88	149	102	46	175	46	93	122	68	95	24	143	100	102	51	46	101	111	78	32	6	315	26	107	146	105	72	87	154	124	60	253	166	140	196	184	167	315	121	258	205	385	260	401	395	196	642	609	511	689	456	1143	954	954	1120	1280	1379	1481	1373	1625	1273	1830	1320	1426	1203	1079	1052	1152	1204	1326	26234
fam0502-T-V01	fam0502	T	V01	0	0	0	0	0	0	2	2	13	7	14	16	23	34	40	49	40	49	43	46	89	63	60	72	37	80	64	60	48	44	72	49	35	72	32	60	39	41	47	25	62	42	53	36	39	41	32	39	58	10	74	36	43	35	31	54	38	32	41	20	57	34	28	51	29	33	49	21	34	32	71	28	56	40	13	95	75	36	71	20	202	182	59	193	201	207	229	198	346	186	1127	544	984	869	975	1173	1028	281	12	28531
fam0502-T-V02	fam0502	T	V02	0	38	1554	3966	5005	4511	3363	2115	1193	739	518	368	305	286	207	160	153	163	157	125	140	144	142	130	100	161	117	135	128	95	136	109	76	125	74	91	117	75	104	50	122	115	108	79	71	102	97	111	84	36	231	80	115	113	109	96	126	123	132	99	181	142	151	128	172	174	202	143	181	180	245	221	267	228	200	352	302	306	378	342	502	474	490	567	642	731	924	1024	1392	1773	2650	3238	4213	4614	4423	3823	3169	2875	3573	30440
fam0502-T-V03	fam0502	T	V03	0	0	1	98	826	1940	2360	2021	1590	1126	905	622	449	314	199	198	155	144	89	68	90	45	56	69	30	70	71	64	64	54	98	64	11	142	16	99	112	48	107	9	171	129	90	36	41	121	118	74	31	3	319	25	95	146	141	80	71	130	149	44	230	154	114	165	163	143	240	71	188	174	263	201	294	267	165	406	404	336	480	350	725	672	744	888	979	1235	1431	1576	2011	2068	2773	2662	3103	3080	3122	2959	2780	2552	2828	25312
fam0502-T-V04	fam0502	T	V04	0	0	1	12	102	186	237	238	241	211	296	269	274	333	296	361	407	468	521	438	675	615	681	632	577	865	751	702	769	689	723	625	573	574	462	454	469	377	358	285	362	251	276	233	217	251	234	212	232	89	415	233	298	300	303	299	342	363	440	337	584	505	567	555	614	646	694	583	628	565	685	579	586	542	367	586	456	368	363	228	449	322	250	293	297	329	306	295	448	343	822	728	1046	1302	1544	2047	2678	3274	4010	31461
fam0502-T-V05	fam0502	T	V05	0	0	0	0	0	0	0	0	0	0	2	3	7	12	21	41	72	81	92	65	182	204	116	235	13	308	163	233	168	68	348	113	9	306	8	146	219	49	133	6	273	131	90	39	12	158	122	38	3	0	452	6	56	145	183	41	48	129	212	11	335	206	69	272	190	36	415	1	139	195	473	192	390	265	1	494	395	119	329	23	790	618	156	498	434	403	304	205	286	111	1195	459	730	460	348	203	41	2	0	11223
fam0502-T-V06	fam0502	T	V06	0	0	0	0	0	22	119	325	602	786	1184	1203	1361	1312	1390	1303	1326	1255	1119	826	1189	915	811	723	433	702	508	463	395	302	401	278	165	374	136	226	238	134	188	70	243	174	202	132	119	207	190	190	129	1	566	100	274	251	248	195	220	332	325	160	493	339	343	394	456	480	673	401	680	555	918	730	1018	941	690	1318	1281	1114	1351	938	1754	1364	1334	1211	1266	1321	1189	1024	1077	810	1210	816	937	814	723	813	971	1039	881	24955
fam0502-T-V07	fam0502	T	V07	0	0	0	0	0	0	0	0	0	0	1	2	3	3	5	7	7	8	13	7	10	14	11	25	0	29	9	9	10	10	16	1	2	7	3	6	3	8	6	1	11	8	6	5	4	2	5	4	1	0	11	1	4	8	4	5	4	2	2	2	7	5	7	9	9	3	19	1	5	10	30	11	19	10	0	45	46	19	48	3	155	153	34	122	100	137	121	85	180	69	705	313	484	413	429	432	237	37	1	24303
